state	score
California	8
District of Columbia	8
Massachusetts	8
New york	8
Connecticut	7
Illinois	7
Maine	7
New Hampshire	7
Vermont	7
Colorado	6
Delaware	6
Iowa	6
Maryland5	6
Oregon	6
Rhode Island	6
Nevada	5
New Jersey	5
New Mexico	5
Washington	5
Minnesota	4
Hawaii	3
Wisconsin	3
Pennsylvania	2
Florida	2
Arizona	2
Alaska	1
Indiana	1
Kansas	1
Missouri	1
Nebraska	1
Ohio	1
Kentucky	0
Louisana	0
Michigan	0
North Dakota	0
South Dakota	0
Tennessee	0
Texas	0
Virginia	0
West Virginia	0
Wyoming	0
Arkansas	-1
Georgia	-1
Idaho	-1
Mississippi	-1
Montana	-1
Oklahoma	-1
South Carolina	-2
Utah	-2
Alabama	-3
North Carolina	-3
