location,start_date,end_date,description,USA for sure,timestamp
Brussels,2006-11-16,2006-11-19,LoveBall,False,20061026221710
Miami,2006-11-22,2006-11-27,White Party Week,False,20061026221710
Aspen,2007-01-14,2007-01-21,Gay and Lesbian Ski Week,False,20070114195410
Miami,2007-01-28,2007-02-04,Freedom Caribbean Cruise,False,20070125091636
Cologne,2007-02-15,2007-02-20,Karnaval,False,20070206002150
Cape Town,2007-02-16,2007-02-25,Gay Pride,False,20070206002150
Rio de Janeiro,2007-02-17,2007-02-20,Carnaval,False,20070206002150
Miami,2007-02-27,2007-02-27,Winter Party Miami,False,20071217191524
Miami,2007-02-28,2007-03-05,Winter Party,False,20070206002150
Sydney,2007-03-03,2007-03-03,Mardi Gras,False,20070206002150
Berlin,2007-04-05,2007-04-09,Leder- und Fetisch-Treffen,False,20070324050528
Berlin,2007-04-07,2007-04-07,Snax Club,False,20070324050528
Amsterdam,2007-04-30,2007-04-30,Queensday,False,20070324050528
Orlando,2007-05-01,2007-06-03,Gay Days One Mighty Weekend,False,20070206002150
Gran Canaria,2007-05-07,2007-05-13,Gay Pride,False,20070324050528
Helsinki,2007-05-10,2007-05-10,Eurovision Songcontest,False,20070324050528
Helsinki,2007-05-12,2007-05-12,Eurovision Songcontest,False,20070324050528
Brussels,2007-05-12,2007-05-12,Gay Pride Parade,False,20070324050528
Paris,2007-05-23,2007-05-28,Paris tournament,False,20070324050528
Cologne,2007-05-25,2007-05-28,Rheinfetisch 2007,False,20070324050528
Brussels,2007-05-28,2007-05-28,Gay Pride Parade,False,20070125091636
Orlando,2007-05-29,2007-06-04,Gay Days Reunion Weekend,False,20070125091636
Orlando,2007-05-29,2007-06-03,Gay Days One Mighty Weekend,False,20070307091905
Orlando,2007-05-29,2007-05-29,Gay Days One Mighty Weekend,False,20070518172714
Berlin,2007-06-16,2007-06-17,Stadtfest,False,20070324050528
Berlin,2007-06-16,2007-06-24,Pride Week / CSD,False,20070324050528
New York,2007-06-17,2007-06-24,NYC Gay Pride,False,20070518172714
San Francisco,2007-06-23,2007-06-24,San Francisco Pride,False,20070518172714
Dublin,2007-06-23,2007-06-25,Gay Pride,False,20070324050528
