location,start_date,end_date,description,USA for sure,timestamp
Miami,22-11-06,27-11-06,White Party Week,FALSE,2.0061E+13
Aspen,14-01-07,21-01-07,Gay and Lesbian Ski Week,FALSE,2.00701E+13
Miami,28-01-07,04-02-07,Freedom Caribbean Cruise,FALSE,2.00701E+13
Miami,28-02-07,05-03-07,Winter Party,FALSE,2.00702E+13
Orlando,29-05-07,04-06-07,Gay Days Reunion Weekend,FALSE,2.00701E+13
Orlando,29-05-07,29-05-07,Gay Days One Mighty Weekend,FALSE,2.00705E+13
New York,17-06-07,24-06-07,NYC Gay Pride,FALSE,2.00705E+13
San Francisco,23-06-07,24-06-07,San Francisco Pride,FALSE,2.00705E+13
San Francisco,30-09-07,30-09-07,Folsom Street Fair,FALSE,2.00709E+13
Miami,21-11-07,26-11-07,White Party Week,FALSE,2.00711E+13
Aspen,13-01-08,20-01-08,Gay and Lesbian Ski Week,FALSE,2.00712E+13
Miami,19-01-08,26-01-08,Atlantis Caribbean Cruise,FALSE,2.00801E+13
New Orleans,01-02-08,05-02-08,Gay Mardi Gras,FALSE,2.00801E+13
Miami,25-02-08,25-02-08,Winter Party Miami,TRUE,2.00812E+13
Miami,27-02-08,27-02-08,Winter Party Miami,FALSE,2.00802E+13
Chicago,22-05-08,26-05-08,International Mr Leather,FALSE,2.00804E+13
Orlando,05-06-08,08-06-08,Gay Days One Mighty Weekend,FALSE,2.00805E+13
Los Angeles,06-06-08,08-06-08,Los Angeles Pride,FALSE,2.00805E+13
New York,22-06-08,29-06-08,NYC Gay Pride,FALSE,2.00805E+13
San Francisco,28-06-08,29-06-08,San Francisco Pride,FALSE,2.00806E+13
Chicago,29-06-08,29-06-08,Chicago Pride,FALSE,2.00806E+13
New Orleans,27-08-08,27-08-08,Southern Decadence,FALSE,2.00807E+13
San Francisco,28-09-08,28-09-08,Folsom Street Fair,FALSE,2.00809E+13
Los Angeles,03-10-08,05-10-08,Gay Days Anaheim,FALSE,2.00809E+13
Palm Springs,01-11-08,02-11-08,Greater Palm Springs Pride,FALSE,2.00809E+13
Aspen,11-01-09,18-01-09,Gay and Lesbian Ski Week,TRUE,2.00812E+13
New Orleans,19-02-09,24-02-09,Gay Mardi Gras,TRUE,2.00902E+13
Miami,25-02-09,02-03-09,Winter Party Miami,TRUE,2.00902E+13
Fort Lauderdale,08-03-09,15-03-09,Atlantis Caribbean Cruise,TRUE,2.00902E+13
Las Vegas,01-05-09,02-05-09,Las Vegas Pride,TRUE,2.00904E+13
Chicago,21-05-09,25-05-09,International Mr Leather,TRUE,2.00904E+13
Orlando,04-06-09,07-06-09,Gay Days One Mighty Weekend,TRUE,2.00904E+13
Los Angeles,12-06-09,14-06-09,Los Angeles Pride,TRUE,2.00904E+13
New York,20-06-09,28-06-09,NYC Gay Pride,TRUE,2.00904E+13
San Francisco,27-06-09,28-06-09,San Francisco Pride,TRUE,2.00904E+13
